"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29 de nov. de 2021","6,3238","6,3405","6,3574","6,2867","148,52K","-0,38%"
"26 de nov. de 2021","6,3480","6,2396","6,3803","6,2377","204,65K","1,77%"
"25 de nov. de 2021","6,2377","6,2794","6,2962","6,2189","123,41K","-0,62%"
"24 de nov. de 2021","6,2766","6,2670","6,3024","6,2302","161,78K","0,18%"
"23 de nov. de 2021","6,2654","6,2781","6,3801","6,2622","176,02K","-0,17%"
"22 de nov. de 2021","6,2759","6,3390","6,3394","6,2627","196,18K","-0,96%"
"19 de nov. de 2021","6,3365","6,3201","6,3389","6,2460","136,07K","0,29%"
"18 de nov. de 2021","6,3184","6,2590","6,3408","6,2559","170,01K","0,96%"
"17 de nov. de 2021","6,2585","6,2303","6,2669","6,1848","171,77K","0,48%"
"16 de nov. de 2021","6,2286","6,2043","6,2536","6,1693","160,32K","0,40%"
"15 de nov. de 2021","6,2035","6,2494","6,2561","6,1975","68,26K","-0,75%"
"12 de nov. de 2021","6,2503","6,1844","6,2607","6,1737","134,55K","1,11%"
"11 de nov. de 2021","6,1817","6,3053","6,3089","6,1750","113,34K","-1,92%"
"10 de nov. de 2021","6,3026","6,3537","6,3606","6,2841","159,28K","-0,78%"
"09 de nov. de 2021","6,3523","6,4255","6,4358","6,3235","138,61K","-1,11%"
"08 de nov. de 2021","6,4238","6,4053","6,4812","6,4025","126,30K","0,20%"
"05 de nov. de 2021","6,4108","6,4738","6,4801","6,3552","156,31K","-0,95%"
"04 de nov. de 2021","6,4720","6,4485","6,5027","6,4099","162,58K","0,40%"
"03 de nov. de 2021","6,4465","6,5769","6,5934","6,4380","202,84K","-1,96%"
"02 de nov. de 2021","6,5752","6,5957","6,5991","6,5743","76,23K","-0,27%"
"01 de nov. de 2021","6,5928","6,5166","6,6016","6,5037","164,83K","1,16%"
"29 de out. de 2021","6,5172","6,5961","6,6009","6,4712","173,52K","-1,16%"
"28 de out. de 2021","6,5940","6,4265","6,6173","6,4124","167,92K","2,63%"
"27 de out. de 2021","6,4253","6,4560","6,4858","6,4243","151,54K","-0,44%"
"26 de out. de 2021","6,4534","6,4496","6,4980","6,4409","146,68K","0,07%"
"25 de out. de 2021","6,4486","6,5792","6,5917","6,4290","147,02K","-1,96%"
"22 de out. de 2021","6,5775","6,5770","6,6953","6,5453","166,01K","0,04%"
"21 de out. de 2021","6,5748","6,5216","6,6172","6,5107","177,29K","0,83%"
"20 de out. de 2021","6,5205","6,4976","6,5265","6,4325","175,17K","0,38%"
"19 de out. de 2021","6,4958","6,4007","6,5315","6,3990","158,07K","1,52%"
"18 de out. de 2021","6,3985","6,3336","6,4351","6,3194","158,56K","1,02%"
"15 de out. de 2021","6,3341","6,3939","6,4074","6,2996","153,47K","-0,91%"
"14 de out. de 2021","6,3920","6,3920","6,4127","6,3446","133,12K","0,02%"
"13 de out. de 2021","6,3910","6,3784","6,4607","6,3686","185,15K","0,21%"
"12 de out. de 2021","6,3773","6,3981","6,4068","6,3762","49,30K","-0,28%"
"11 de out. de 2021","6,3954","6,3714","6,4050","6,3538","142,10K","0,33%"
"08 de out. de 2021","6,3742","6,3752","6,4014","6,3373","160,87K","0,00%"
"07 de out. de 2021","6,3742","6,3496","6,3930","6,3204","156,91K","0,45%"
"06 de out. de 2021","6,3456","6,3529","6,3945","6,3142","193,38K","-0,05%"
"05 de out. de 2021","6,3486","6,3397","6,3643","6,2937","163,89K","0,18%"
"04 de out. de 2021","6,3370","6,2181","6,3436","6,2151","156,09K","1,91%"
"01 de out. de 2021","6,2182","6,3045","6,3165","6,2090","128,74K","-1,35%"
"30 de set. de 2021","6,3033","6,2800","6,3364","6,2172","209,47K","0,39%"
"29 de set. de 2021","6,2789","6,3429","6,3472","6,2608","177,46K","-0,99%"
"28 de set. de 2021","6,3420","6,3066","6,3682","6,2912","181,88K","0,60%"
"27 de set. de 2021","6,3042","6,2587","6,3098","6,2081","147,93K","0,89%"
"24 de set. de 2021","6,2487","6,2257","6,2716","6,2116","148,04K","0,40%"
"23 de set. de 2021","6,2236","6,1810","6,2399","6,1581","154,11K","0,70%"
"22 de set. de 2021","6,1805","6,1799","6,2213","6,1559","184,14K","0,04%"
"21 de set. de 2021","6,1779","6,2441","6,2573","6,1704","176,90K","-1,02%"
"20 de set. de 2021","6,2415","6,2049","6,3045","6,1849","181,72K","0,66%"
"17 de set. de 2021","6,2005","6,1852","6,2860","6,1810","150,76K","0,33%"
"16 de set. de 2021","6,1802","6,1720","6,2087","6,1435","172,85K","0,17%"
"15 de set. de 2021","6,1697","6,1856","6,2301","6,1614","143,24K","-0,21%"
"14 de set. de 2021","6,1826","6,1596","6,2137","6,1523","170,16K","0,41%"
"13 de set. de 2021","6,1572","6,1979","6,2011","6,1297","159,09K","-0,64%"
"10 de set. de 2021","6,1969","6,1473","6,2269","6,1123","157,36K","0,82%"
